"time","tank2.level"
11.04,2.013091944926319e-05
11.1,2.129231347967111e-05
11.16,2.245370751007903e-05
11.22,2.361509658102257e-05
11.28,2.477647714667459e-05
11.34,2.593785771232664e-05
11.4,2.709923827797869e-05
11.46,2.826061884363074e-05
11.52,2.942199940928276e-05
11.58,3.058337997493481e-05
11.64,3.174476054058685e-05
11.7,3.290614110623888e-05
11.76,3.406752167189092e-05
11.82,3.522890223754297e-05
11.88,3.639028280319503e-05
11.94,3.755166336884704e-05
12,3.871304393449909e-05
12.06,3.987442450015114e-05
12.12,4.103580506580316e-05
12.18,4.219718563145521e-05
12.24,4.335856619710726e-05
12.3,4.451994676275931e-05
12.36,4.568132732841132e-05
12.42,4.684269703296105e-05
12.48,4.800405066972578e-05
12.54,4.916540430649047e-05
12.6,5.03267579432552e-05
12.66,5.148811158001993e-05
12.72,5.264946521678465e-05
12.78,5.381081885354935e-05
12.84,5.497217249031407e-05
12.9,5.61335261270788e-05
12.96,5.729487976384353e-05
13.02,5.845623340060822e-05
13.08,5.961758703737294e-05
13.14,6.077894067413767e-05
13.2,6.194029431090237e-05
13.26,6.31016479476671e-05
13.32,6.426300158443182e-05
13.38,6.542435522119655e-05
13.44,6.658570885796123e-05
13.5,6.774706249472597e-05
13.56,6.89084161314907e-05
13.62,7.006976976825539e-05
13.68,7.123112340502011e-05
13.74,7.239247704178484e-05
13.8,7.355383067854957e-05
13.86,7.471518431531426e-05
13.92,7.587653795207899e-05
13.98,7.703789158884372e-05
14.04,7.819924522560842e-05
14.1,7.936059886237314e-05
14.16,8.052195249913787e-05
14.22,8.16833061359026e-05
14.28,8.284465977266728e-05
14.34,8.400601340943201e-05
14.4,8.516736704619673e-05
14.46,8.632872068296146e-05
14.52,8.749007431972616e-05
14.58,8.865142795649089e-05
14.64,8.981278159325561e-05
14.7,9.097413523002031e-05
14.76,9.213548886678504e-05
14.82,9.329681701291294e-05
14.88,9.445811679440056e-05
14.94,9.561941657588814e-05
15,9.678071635737577e-05
15.06,9.794201613886339e-05
15.12,9.910331592035097e-05
15.18,0.0001002646157018386
15.24,0.0001014259154833262
15.3,0.0001025872152648138
15.36,0.0001037485150463014
15.42,0.000104909814827789
15.48,0.0001060711146092767
15.54,0.0001072324143907643
